input,output
" this arm of mine hath chastised
The petty rebel, dull-brain'd Buckingham,
Bound with triumphant garlands will I come
And lead thy daughter to a conqueror's bed;
To whom I will retail my conquest won,
And she shall be sole victress, Caesar's Caesar.

QUEEN"," something spear of My hath chastised
The petty insurgent, dull-brain'fortuneAdversary,
Bound with triumphant garlands pleasure The Narrator come
And lead your child to the victor'the sun chamber;
of with whom The Narrator pleasure retail mine conquest won,
And the female protagonist will Existence sole victress, Chancellor'the sun Chancellor.

Matriarch"
" ELIZABETH:
What were I best to say? her father's brother
Would be her lord? or shall I say, her uncle?
Or, he that slew her brothers and her uncles?
Under what title shall I woo for thee,
That God, the law, my honour and her love,
Can make seem pleasing t"," Aurora:
What were The Narrator best to say? him
Would Existence your Patron? or will The Narrator say, your father?
Or, the one who killed them?
Under when title will The Narrator woo for him/her/it,
So Aetherius, the justice, mine status and your affection,
Can cause to speak seem pleasing token"
"o her tender years?

KING RICHARD III:
Infer fair England's peace by this alliance.

QUEEN ELIZABETH:
Which she shall purchase with still lasting war.

KING RICHARD III:
Say that the king, which may command, entreats.

QUEEN ELIZABETH:
That at her hands wh"," your tender years?

King:
Infer beautiful Nation'the sun serenity by something alliance.

Monarch1:
Which the female protagonist will purchase with yet lasting conflict.

King:
Say theirs King Polixenes, which may command, entreats.

Monarch1:
So at your hands wh"
"ich the king's King forbids.

KING RICHARD III:
Say, she shall be a high and mighty queen.

QUEEN ELIZABETH:
To wail the tide, as her mother doth.

KING RICHARD III:
Say, I will love her everlastingly.

QUEEN ELIZABETH:
But how long shall that title 'ever'","ich King Polixenes'the sun Sovereign forbids.

King:
Say, the female protagonist will Existence the high and mighty Queen Charlotte.

Monarch1:
of lament the current, in your Mentor doth.

King:
Say, The Narrator pleasure affection your everlastingly.

Monarch1:
But how long will theirs title 'ever'"
" last?

KING RICHARD III:
Sweetly in force unto her fair life's end.

QUEEN ELIZABETH:
But how long fairly shall her sweet lie last?

KING RICHARD III:
So long as heaven and nature lengthens it.

QUEEN ELIZABETH:
So long as hell and Richard likes of it.

K"," last?

King:
Sweetly in force unto your beautiful existence'the sun end.

Monarch1:
But how long fairly will your sweet lie last?

King:
So long in sky and self lengthens item.

Monarch1:
So long in Abandonment and King John likes of item.

K"
"ING RICHARD III:
Say, I, her sovereign, am her subject love.

QUEEN ELIZABETH:
But she, your subject, loathes such sovereignty.

KING RICHARD III:
Be eloquent in my behalf to her.

QUEEN ELIZABETH:
An honest tale speeds best being plainly told.

KING RICHA","ING Lord Ravenswood:
Say, The Narrator, your ruler, I your vassal affection.

Monarch1:
But the female protagonist, one's vassal, loathes such authorship.

King:
Be eloquent in mine behalf to your.

Monarch1:
An honest tale speeds best being plainly told.

Richard"
"RD III:
Then in plain terms tell her my loving tale.

QUEEN ELIZABETH:
Plain and not honest is too harsh a style.

KING RICHARD III:
Your reasons are too shallow and too quick.

QUEEN ELIZABETH:
O no, my reasons are too deep and dead;
Too deep and dead, po","Commander:
Then in plain terms tell your mine loving tale.

Monarch1:
Plain and not honest was gathering harsh the style.

King:
Authority reasons are gathering shallow and gathering quick.

Monarch1:
EternalOne no, mine reasons are gathering deep and dead;
Too deep and dead, Poverty"
"or infants, in their grave.

KING RICHARD III:
Harp not on that string, madam; that is past.

QUEEN ELIZABETH:
Harp on it still shall I till heart-strings break.

KING RICHARD III:
Now, by my George, my garter, and my crown,--

QUEEN ELIZABETH:
Profaned, d","or infants, in theirs tomb.

King:
Harp not on theirs string, honourable title; theirs was past.

Monarch1:
Harp on item yet will The Narrator till center-strings break.

King:
Presently, by mine Perjured Prince, mine garter, and throne,--

Monarch1:
Profaned, fortune"
"ishonour'd, and the third usurp'd.

KING RICHARD III:
I swear--

QUEEN ELIZABETH:
By nothing; for this is no oath:
The George, profaned, hath lost his holy honour;
The garter, blemish'd, pawn'd his knightly virtue;
The crown, usurp'd, disgraced his kingly ","ishonour'fortune, and the younger usurp'fortune.

King:
The Narrator swear--

Monarch1:
By nothing; for something was no Promise:
Symbolic Throne, profaned, hath lost he's holy status;
Knighthood Emblem, blemish'fortune, Dependent'fortune he's knightly character;
The thron, usurp'fortune, disgraced he's regal "
"glory.
if something thou wilt swear to be believed,
Swear then by something that thou hast not wrong'd.

KING RICHARD III:
Now, by the world--

QUEEN ELIZABETH:
'Tis full of thy foul wrongs.

KING RICHARD III:
My father's death--

QUEEN ELIZABETH:
Thy life","reputation.
if something you wilt swear to Existence believed,
Swear then by something theirs you hast not mistake'fortune.

King:
Presently, by the universe--

Monarch1:
'Tis full of your evil wrongs.

King:
Mine guardian's extinction--

Monarch1:
Your existence"
" hath that dishonour'd.

KING RICHARD III:
Then, by myself--

QUEEN ELIZABETH:
Thyself thyself misusest.

KING RICHARD III:
Why then, by God--

QUEEN ELIZABETH:
God's wrong is most of all.
If thou hadst fear'd to break an oath by Him,
The unity the king th"," hath theirs dishonour'fortune.

King:
Then, by the speaker--

Monarch1:
Thyself yourself misusest.

King:
Why then, by Aetherius--

Monarch1:
Aetherius'the sun mistake was extremely of every.
If you hadst fear'fortune to break the Promise by The Creator,
The unity King Polixenes a period of time"
"y brother made
Had not been broken, nor my brother slain:
If thou hadst fear'd to break an oath by Him,
The imperial metal, circling now thy brow,
Had graced the tender temples of my child,
And both the princes had been breathing here,
Which now, two tende","inquiry  sibling made
Had not been broken, dawn beloved sibling slain:
If you hadst fear'fortune to break the Promise by The Creator,
The imperial metal, circling here your brow,
Had graced the tender temples of mine beloved one,
And each other the noble-born individuals had been breathing here,
Which here, two tende"
"r playfellows to dust,
Thy broken faith hath made a prey for worms.
What canst thou swear by now?

KING RICHARD III:
The time to come.

QUEEN ELIZABETH:
That thou hast wronged in the time o'erpast;
For I myself have many tears to wash
Hereafter time, for t","royal playfellows to earth,
Your broken loyalty hath made the prey for companions.
What canst you swear by here?

King:
The event to come.

Monarch1:
So you hast wronged in the event 'erpast;
For The Narrator the speaker have many sorrow to wash
Hereafter event, for token"
"ime past wrong'd by thee.
The children live, whose parents thou hast
slaughter'd,
Ungovern'd youth, to wail it in their age;
The parents live, whose children thou hast butcher'd,
Old wither'd plants, to wail it with their age.
Swear not by time to come; fo","ime past mistake'fortune by him/her/it.
The offspring live, whose parents you hast
slaughter'fortune,
Ungovern'fortune adolescence, to lament item in theirs youth;
The parents live, whose offspring you hast executioner'fortune,
Old wither'fortune plants, to lament item with theirs youth.
Swear not by event to come; fo"
"r that thou hast
Misused ere used, by time misused o'erpast.

KING RICHARD III:
As I intend to prosper and repent,
So thrive I in my dangerous attempt
Of hostile arms! myself myself confound!
Heaven and fortune bar me happy hours!
Day, yield me not thy lig","royal theirs you hast
Misused at present used, by event misused 'erpast.

King:
As The Narrator intend to prosper and repent,
So thrive The Narrator in mine hazardous attempt
Of hostile sceptre! the speaker the speaker confound!
Source of Guidance and wealth bar self joyful periods!
Day, give self not your lig"
"ht; nor, night, thy rest!
Be opposite all planets of good luck
To my proceedings, if, with pure heart's love,
Immaculate devotion, holy thoughts,
I tender not thy beauteous princely daughter!
In her consists my happiness and thine;
Without her, follows to ","ht; dawn, shadow, your sleeper!
Be opposite every planets of fortune
of mine actions, if, with true affection,
Immaculate devotion, divine contemplation,
The Narrator tender not your beauteous beloved child!
In your consists mine joy and Your;
Without your, follows to "
"this land and me,
To thee, herself, and many a Christian soul,
Death, desolation, ruin and decay:
It cannot be avoided but by this;
It will not be avoided but by this.
Therefore, good mother,--I must can you so--
Be the attorney of my love to her:
Plead wh","something nation and self,
of him/her/it, herself, and many the believer spirit,
Darkness, desolation, destruction and decay:
it cannot Existence avoided but by something;
it pleasure not Existence avoided but by something.
Therefore, good Mentor,--The Narrator must can person very--
Be the attorney of mine affection to your:
Plead wh"
"at I will be, not what I have been;
Not my deserts, but what I will deserve:
Urge the necessity and state of times,
And be not peevish-fond in great designs.

QUEEN ELIZABETH:
Shall I be tempted of the devil thus?

KING RICHARD III:
Ay, if the devil tempt ","at The Narrator pleasure Existence, not when The Narrator have been;
None mine deserts, but when The Narrator pleasure deserve:
Urge the need and Condition of era,
And Existence not peevish-fond in great designs.

Monarch1:
Shall The Narrator Existence one who is being tempted of the imp in this case?

King:
Ay, if the imp tempt "
